Grid Size,30
NULL,NodeType,GridX,GridY,Length,Width,Height,PosX,PosY,PosZ
0,1,4,1,6.6667,6.6666,0,-70.4028,-90.6711,0
0,1,4,0,6.6666,6.6666,0,-70.4028,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,6,0,6.6666,6.6667,0,-57.0695,-97.3377,0
0,1,6,1,6.6667,6.6667,0,-57.0695,-90.6711,0
0,1,5,1,6.6667,6.6667,0,-63.7362,-90.6711,0
0,0,6,0,6.6666,6.6667,0,-57.0695,-97.3377,0
0,1,5,1,6.6667,6.6667,0,-63.7362,-90.6711,0
0,1,5,0,6.6666,6.6667,0,-63.7362,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,7,0,6.6666,6.6666,0,-50.4028,-97.3377,0
0,1,7,1,6.6667,6.6666,0,-50.4028,-90.6711,0
0,1,6,1,6.6667,6.6667,0,-57.0695,-90.6711,0
0,0,7,0,6.6666,6.6666,0,-50.4028,-97.3377,0
0,1,6,1,6.6667,6.6667,0,-57.0695,-90.6711,0
0,1,6,0,6.6666,6.6667,0,-57.0695,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,8,0,6.6666,6.6667,0,-43.7362,-97.3377,0
0,1,8,1,6.6667,6.6667,0,-43.7362,-90.6711,0
0,1,7,1,6.6667,6.6666,0,-50.4028,-90.6711,0
0,0,8,0,6.6666,6.6667,0,-43.7362,-97.3377,0
0,1,7,1,6.6667,6.6666,0,-50.4028,-90.6711,0
0,1,7,0,6.6666,6.6666,0,-50.4028,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,9,0,6.6666,6.6667,0,-37.0695,-97.3377,0
0,1,9,1,6.6667,6.6667,0,-37.0695,-90.6711,0
0,1,8,1,6.6667,6.6667,0,-43.7362,-90.6711,0
0,0,9,0,6.6666,6.6667,0,-37.0695,-97.3377,0
0,1,8,1,6.6667,6.6667,0,-43.7362,-90.6711,0
0,1,8,0,6.6666,6.6667,0,-43.7362,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,10,0,6.6666,6.6666,0,-30.4028,-97.3377,0
0,1,10,1,6.6667,6.6666,0,-30.4028,-90.6711,0
0,1,9,1,6.6667,6.6667,0,-37.0695,-90.6711,0
0,0,10,0,6.6666,6.6666,0,-30.4028,-97.3377,0
0,1,9,1,6.6667,6.6667,0,-37.0695,-90.6711,0
0,1,9,0,6.6666,6.6667,0,-37.0695,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,11,0,6.6666,6.6667,0,-23.7361,-97.3377,0
0,1,11,1,6.6667,6.6667,0,-23.7361,-90.6711,0
0,1,10,1,6.6667,6.6666,0,-30.4028,-90.6711,0
0,0,11,0,6.6666,6.6667,0,-23.7361,-97.3377,0
0,1,10,1,6.6667,6.6666,0,-30.4028,-90.6711,0
0,1,10,0,6.6666,6.6666,0,-30.4028,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,12,0,6.6666,6.6667,0,-17.0695,-97.3377,0
0,1,12,1,6.6667,6.6667,0,-17.0695,-90.6711,0
0,1,11,1,6.6667,6.6667,0,-23.7361,-90.6711,0
0,0,12,0,6.6666,6.6667,0,-17.0695,-97.3377,0
0,1,11,1,6.6667,6.6667,0,-23.7361,-90.6711,0
0,1,11,0,6.6666,6.6667,0,-23.7361,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,13,0,6.6666,6.66662,0,-10.4028,-97.3377,0
0,1,13,1,6.6667,6.66662,0,-10.4028,-90.6711,0
0,1,12,1,6.6667,6.6667,0,-17.0695,-90.6711,0
0,0,13,0,6.6666,6.66662,0,-10.4028,-97.3377,0
0,1,12,1,6.6667,6.6667,0,-17.0695,-90.6711,0
0,1,12,0,6.6666,6.6667,0,-17.0695,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,14,0,6.6666,6.66667,0,-3.73615,-97.3377,0
0,1,14,1,6.6667,6.66667,0,-3.73615,-90.6711,0
0,1,13,1,6.6667,6.66662,0,-10.4028,-90.6711,0
0,0,14,0,6.6666,6.66667,0,-3.73615,-97.3377,0
0,1,13,1,6.6667,6.66662,0,-10.4028,-90.6711,0
0,1,13,0,6.6666,6.66662,0,-10.4028,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,15,0,6.6666,6.66667,0,2.93053,-97.3377,0
0,1,15,1,6.6667,6.66667,0,2.93053,-90.6711,0
0,1,14,1,6.6667,6.66667,0,-3.73615,-90.6711,0
0,0,15,0,6.6666,6.66667,0,2.93053,-97.3377,0
0,1,14,1,6.6667,6.66667,0,-3.73615,-90.6711,0
0,1,14,0,6.6666,6.66667,0,-3.73615,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,16,0,6.6666,6.66664,0,9.59718,-97.3377,0
0,1,16,1,6.6667,6.66664,0,9.59718,-90.6711,0
0,1,15,1,6.6667,6.66667,0,2.93053,-90.6711,0
0,0,16,0,6.6666,6.66664,0,9.59718,-97.3377,0
0,1,15,1,6.6667,6.66667,0,2.93053,-90.6711,0
0,1,15,0,6.6666,6.66667,0,2.93053,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,17,0,6.6666,6.6667,0,16.2639,-97.3377,0
0,1,17,1,6.6667,6.6667,0,16.2639,-90.6711,0
0,1,16,1,6.6667,6.66664,0,9.59718,-90.6711,0
0,0,17,0,6.6666,6.6667,0,16.2639,-97.3377,0
0,1,16,1,6.6667,6.66664,0,9.59718,-90.6711,0
0,1,16,0,6.6666,6.66664,0,9.59718,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,18,0,6.6666,6.6667,0,22.9305,-97.3377,0
0,1,18,1,6.6667,6.6667,0,22.9305,-90.6711,0
0,1,17,1,6.6667,6.6667,0,16.2639,-90.6711,0
0,0,18,0,6.6666,6.6667,0,22.9305,-97.3377,0
0,1,17,1,6.6667,6.6667,0,16.2639,-90.6711,0
0,1,17,0,6.6666,6.6667,0,16.2639,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,19,0,6.6666,6.6666,0,29.5972,-97.3377,0
0,1,19,1,6.6667,6.6666,0,29.5972,-90.6711,0
0,1,18,1,6.6667,6.6667,0,22.9305,-90.6711,0
0,0,19,0,6.6666,6.6666,0,29.5972,-97.3377,0
0,1,18,1,6.6667,6.6667,0,22.9305,-90.6711,0
0,1,18,0,6.6666,6.6667,0,22.9305,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,20,0,6.6666,6.6667,0,36.2638,-97.3377,0
0,1,20,1,6.6667,6.6667,0,36.2638,-90.6711,0
0,1,19,1,6.6667,6.6666,0,29.5972,-90.6711,0
0,0,20,0,6.6666,6.6667,0,36.2638,-97.3377,0
0,1,19,1,6.6667,6.6666,0,29.5972,-90.6711,0
0,1,19,0,6.6666,6.6666,0,29.5972,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,21,0,6.6666,6.6667,0,42.9305,-97.3377,0
0,1,21,1,6.6667,6.6667,0,42.9305,-90.6711,0
0,1,20,1,6.6667,6.6667,0,36.2638,-90.6711,0
0,0,21,0,6.6666,6.6667,0,42.9305,-97.3377,0
0,1,20,1,6.6667,6.6667,0,36.2638,-90.6711,0
0,1,20,0,6.6666,6.6667,0,36.2638,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,22,0,6.6666,6.6666,0,49.5972,-97.3377,0
0,1,22,1,6.6667,6.6666,0,49.5972,-90.6711,0
0,1,21,1,6.6667,6.6667,0,42.9305,-90.6711,0
0,0,22,0,6.6666,6.6666,0,49.5972,-97.3377,0
0,1,21,1,6.6667,6.6667,0,42.9305,-90.6711,0
0,1,21,0,6.6666,6.6667,0,42.9305,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,23,0,6.6666,6.6667,0,56.2638,-97.3377,0
0,1,23,1,6.6667,6.6667,0,56.2638,-90.6711,0
0,1,22,1,6.6667,6.6666,0,49.5972,-90.6711,0
0,0,23,0,6.6666,6.6667,0,56.2638,-97.3377,0
0,1,22,1,6.6667,6.6666,0,49.5972,-90.6711,0
0,1,22,0,6.6666,6.6666,0,49.5972,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,24,0,6.6666,6.6667,0,62.9305,-97.3377,0
0,1,24,1,6.6667,6.6667,0,62.9305,-90.6711,0
0,1,23,1,6.6667,6.6667,0,56.2638,-90.6711,0
0,0,24,0,6.6666,6.6667,0,62.9305,-97.3377,0
0,1,23,1,6.6667,6.6667,0,56.2638,-90.6711,0
0,1,23,0,6.6666,6.6667,0,56.2638,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,25,0,6.6666,6.6666,0,69.5972,-97.3377,0
0,1,25,1,6.6667,6.6666,0,69.5972,-90.6711,0
0,1,24,1,6.6667,6.6667,0,62.9305,-90.6711,0
0,0,25,0,6.6666,6.6666,0,69.5972,-97.3377,0
0,1,24,1,6.6667,6.6667,0,62.9305,-90.6711,0
0,1,24,0,6.6666,6.6667,0,62.9305,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,26,0,6.6666,6.6667,0,76.2638,-97.3377,0
0,1,26,1,6.6667,6.6667,0,76.2638,-90.6711,0
0,1,25,1,6.6667,6.6666,0,69.5972,-90.6711,0
0,0,26,0,6.6666,6.6667,0,76.2638,-97.3377,0
0,1,25,1,6.6667,6.6666,0,69.5972,-90.6711,0
0,1,25,0,6.6666,6.6666,0,69.5972,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,27,0,6.6666,6.6667,0,82.9305,-97.3377,0
0,1,27,1,6.6667,6.6667,0,82.9305,-90.6711,0
0,1,26,1,6.6667,6.6667,0,76.2638,-90.6711,0
0,0,27,0,6.6666,6.6667,0,82.9305,-97.3377,0
0,1,26,1,6.6667,6.6667,0,76.2638,-90.6711,0
0,1,26,0,6.6666,6.6667,0,76.2638,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,28,0,6.6666,6.6666,0,89.5972,-97.3377,0
0,1,28,1,6.6667,6.6666,0,89.5972,-90.6711,0
0,1,27,1,6.6667,6.6667,0,82.9305,-90.6711,0
0,0,28,0,6.6666,6.6666,0,89.5972,-97.3377,0
0,1,27,1,6.6667,6.6667,0,82.9305,-90.6711,0
0,1,27,0,6.6666,6.6667,0,82.9305,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,29,0,6.6666,6.6667,0,96.2638,-97.3377,0
0,1,29,1,6.6667,6.6667,0,96.2638,-90.6711,0
0,1,28,1,6.6667,6.6666,0,89.5972,-90.6711,0
0,0,29,0,6.6666,6.6667,0,96.2638,-97.3377,0
0,1,28,1,6.6667,6.6666,0,89.5972,-90.6711,0
0,1,28,0,6.6666,6.6666,0,89.5972,-97.3377,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,29,1,6.6667,6.6667,0,96.2638,-90.6711,0
0,0,0,1,6.6667,6.6669,0,-97.0695,-90.6711,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0,0
0,1,0,0,6.6666,6.6669,0,-97.0695,-97.3377,0
0,1,1,0,6.6666,6.6666,0,-90.4028,-97.3377,0
0,1,1,1,6.6667,6.6666,0,-90.4028,-90.6711,0
0,1,1,2,6.6666,6.6666,0,-90.4028,-84.0044,0
0,1,0,2,6.6666,6.6669,0,-97.0695,-84.0044,0
0,0,1,1,6.6667,6.6666,0,-90.4028,-90.6711,0
0,1,0,2,6.6666,6.6669,0,-97.0695,-84.0044,0
0,1,0,1,6.6667,6.6669,0,-97.0695,-90.6711,0
0,1,0,0,6.6666,6.6669,0,-97.0695,-97.3377,0
0,1,1,0,6.6666,6.6666,0,-90.4028,-97.3377,0
0,1,2,0,6.6666,6.6667,0,-83.7362,-97.3377,0
0,1,2,1,6.6667,6.6667,0,-83.7362,-90.6711,0
0,1,2,2,6.6666,6.6667,0,-83.7362,-84.0044,0
0,1,1,2,6.6666,6.6666,0,-90.4028,-84.0044,0
0,0,2,1,6.6667,6.6667,0,-83.7362,-90.6711,0
0,1,1,2,6.6666,6.6666,0,-90.4028,-84.0044,0
0,1,1,1,6.6667,6.6666,0,-90.4028,-90.6711,0
0,1,1,0,6.6666,6.6666,0,-90.4028,-97.3377,0
0,1,2,0,6.6666,6.6667,0,-83.7362,-97.3377,0
0,1,3,0,6.6666,6.6667,0,-77.0695,-97.3377,0
0,1,3,1,6.6667,6.6667,0,-77.0695,-90.6711,0
0,1,3,2,6.6666,6.6667,0,-77.0695,-84.0044,0
0,1,2,2,6.6666,6.6667,0,-83.7362,-84.0044,0
0,0,3,1,6.6667,6.6667,0,-77.0695,-90.6711,0
0,1,2,2,6.6666,6.6667,0,-83.7362,-84.0044,0
0,1,2,1,6.6667,6.6667,0,-83.7362,-90.6711,0
0,1,2,0,6.6666,6.6667,0,-83.7362,-97.3377,0
0,1,3,0,6.6666,6.6667,0,-77.0695,-97.3377,0
0,1,4,0,6.6666,6.6666,0,-70.4028,-97.3377,0
0,1,4,1,6.6667,6.6666,0,-70.4028,-90.6711,0
0,1,4,2,6.6666,6.6666,0,-70.4028,-84.0044,0
0,1,3,2,6.6666,6.6667,0,-77.0695,-84.0044,0
0,0,4,1,6.6667,6.6666,0,-70.4028,-90.6711,0
0,1,3,2,6.6666,6.6667,0,-77.0695,-84.0044,0
0,1,3,1,6.6667,6.6667,0,-77.0695,-90.6711,0
0,1,3,0,6.6666,6.6667,0,-77.0695,-97.3377,0
0,1,4,0,6.6666,6.6666,0,-70.4028,-97.3377,0
0,1,5,0,6.6666,6.6667,0,-63.7362,-97.3377,0
0,1,5,1,6.6667,6.6667,0,-63.7362,-90.6711,0
0,1,5,2,6.6666,6.6667,0,-63.7362,-84.0044,0
0,1,4,2,6.6666,6.6666,0,-70.4028,-84.0044,0
0,0,5,1,6.6667,6.6667,0,-63.7362,-90.6711,0
0,1,4,2,6.6666,6.6666,0,-70.4028,-84.0044,0
0,1,4,1,6.6667,6.6666,0,-70.4028,-90.6711,0
0,1,4,0,6.6666,6.6666,0,-70.4028,-97.3377,0
0,1,5,0,6.6666,6.6667,0,-63.7362,-97.3377,0
0,1,6,0,6.6666,6.6667,0,-57.0695,-97.3377,0
0,1,6,1,6.6667,6.6667,0,-57.0695,-90.6711,0
0,1,6,2,6.6666,6.6667,0,-57.0695,-84.0044,0
0,1,5,2,6.6666,6.6667,0,-63.7362,-84.0044,0
0,0,6,1,6.6667,6.6667,0,-57.0695,-90.6711,0
0,1,5,2,6.6666,6.6667,0,-63.7362,-84.0044,0
0,1,5,1,6.6667,6.6667,0,-63.7362,-90.6711,0
0,1,5,0,6.6666,6.6667,0,-63.7362,-97.3377,0
0,1,6,0,6.6666,6.6667,0,-57.0695,-97.3377,0
0,1,7,0,6.6666,6.6666,0,-50.4028,-97.3377,0
0,1,7,1,6.6667,6.6666,0,-50.4028,-90.6711,0
0,1,7,2,6.6666,6.6666,0,-50.4028,-84.0044,0
0,1,6,2,6.6666,6.6667,0,-57.0695,-84.0044,0
0,0,7,1,6.6667,6.6666,0,-50.4028,-90.6711,0
0,1,6,2,6.6666,6.6667,0,-57.0695,-84.0044,0
0,1,6,1,6.6667,6.6667,0,-57.0695,-90.6711,0
0,1,6,0,6.6666,6.6667,0,-57.0695,-97.3377,0
0,1,7,0,6.6666,6.6666,0,-50.4028,-97.3377,0
0,1,8,0,6.6666,6.6667,0,-43.7362,-97.3377,0
0,1,8,1,6.6667,6.6667,0,-43.7362,-90.6711,0
0,1,8,2,6.6666,6.6667,0,-43.7362,-84.0044,0
0,1,7,2,6.6666,6.6666,0,-50.4028,-84.0044,0
0,0,8,1,6.6667,6.6667,0,-43.7362,-90.6711,0
0,1,7,2,6.6666,6.6666,0,-50.4028,-84.0044,0
0,1,7,1,6.6667,6.6666,0,-50.4028,-90.6711,0
0,1,7,0,6.6666,6.6666,0,-50.4028,-97.3377,0
0,1,8,0,6.6666,6.6667,0,-43.7362,-97.3377,0
0,1,9,0,6.6666,6.6667,0,-37.0695,-97.3377,0
0,1,9,1,6.6667,6.6667,0,-37.0695,-90.6711,0
0,1,9,2,6.6666,6.6667,0,-37.0695,-84.0044,0
0,1,8,2,6.6666,6.6667,0,-43.7362,-84.0044,0
0,0,9,1,6.6667,6.6667,0,-37.0695,-90.6711,0
0,1,8,2,6.6666,6.6667,0,-43.7362,-84.0044,0
0,1,8,1,6.6667,6.6667,0,-43.7362,-90.6711,0
0,1,8,0,6.6666,6.6667,0,-43.7362,-97.3377,0
0,1,9,0,6.6666,6.6667,0,-37.0695,-97.3377,0
0,1,10,0,6.6666,6.6666,0,-30.4028,-97.3377,0
0,1,10,1,6.6667,6.6666,0,-30.4028,-90.6711,0
0,1,10,2,6.6666,6.6666,0,-30.4028,-84.0044,0
0,1,9,2,6.6666,6.6667,0,-37.0695,-84.0044,0
0,0,10,1,6.6667,6.6666,0,-30.4028,-90.6711,0
0,1,9,2,6.6666,6.6667,0,-37.0695,-84.0044,0
0,1,9,1,6.6667,6.6667,0,-37.0695,-90.6711,0
0,1,9,0,6.6666,6.6667,0,-37.0695,-97.3377,0
0,1,10,0,6.6666,6.6666,0,-30.4028,-97.3377,0
0,1,11,0,6.6666,6.6667,0,-23.7361,-97.3377,0
0,1,11,1,6.6667,6.6667,0,-23.7361,-90.6711,0
0,1,11,2,6.6666,6.6667,0,-23.7361,-84.0044,0
0,1,10,2,6.6666,6.6666,0,-30.4028,-84.0044,0
0,0,11,1,6.6667,6.6667,0,-23.7361,-90.6711,0
0,1,10,2,6.6666,6.6666,0,-30.4028,-84.0044,0
0,1,10,1,6.6667,6.6666,0,-30.4028,-90.6711,0
0,1,10,0,6.6666,6.6666,0,-30.4028,-97.3377,0
0,1,11,0,6.6666,6.6667,0,-23.7361,-97.3377,0
0,1,12,0,6.6666,6.6667,0,-17.0695,-97.3377,0
0,1,12,1,6.6667,6.6667,0,-17.0695,-90.6711,0
0,1,12,2,6.6666,6.6667,0,-17.0695,-84.0044,0
0,1,11,2,6.6666,6.6667,0,-23.7361,-84.0044,0
0,0,12,1,6.6667,6.6667,0,-17.0695,-90.6711,0
0,1,11,2,6.6666,6.6667,0,-23.7361,-84.0044,0
0,1,11,1,6.6667,6.6667,0,-23.7361,-90.6711,0
0,1,11,0,6.6666,6.6667,0,-23.7361,-97.3377,0
0,1,12,0,6.6666,6.6667,0,-17.0695,-97.3377,0
0,1,13,0,6.6666,6.66662,0,-10.4028,-97.3377,0
0,1,13,1,6.6667,6.66662,0,-10.4028,-90.6711,0
0,1,13,2,6.6666,6.66662,0,-10.4028,-84.0044,0
0,1,12,2,6.6666,6.6667,0,-17.0695,-84.0044,0
0,0,13,1,6.6667,6.66662,0,-10.4028,-90.6711,0
0,1,12,2,6.6666,6.6667,0,-17.0695,-84.0044,0
0,1,12,1,6.6667,6.6667,0,-17.0695,-90.6711,0
0,1,12,0,6.6666,6.6667,0,-17.0695,-97.3377,0
0,1,13,0,6.6666,6.66662,0,-10.4028,-97.3377,0
0,1,14,0,6.6666,6.66667,0,-3.73615,-97.3377,0
0,1,14,1,6.6667,6.66667,0,-3.73615,-90.6711,0
0,1,14,2,6.6666,6.66667,0,-3.73615,-84.0044,0
0,1,13,2,6.6666,6.66662,0,-10.4028,-84.0044,0
0,0,14,1,6.6667,6.66667,0,-3.73615,-90.6711,0
0,1,13,2,6.6666,6.66662,0,-10.4028,-84.0044,0
0,1,13,1,6.6667,6.66662,0,-10.4028,-90.6711,0
0,1,13,0,6.6666,6.66662,0,-10.4028,-97.3377,0
0,1,14,0,6.6666,6.66667,0,-3.73615,-97.3377,0
0,1,15,0,6.6666,6.66667,0,2.93053,-97.3377,0
0,1,15,1,6.6667,6.66667,0,2.93053,-90.6711,0
0,1,15,2,6.6666,6.66667,0,2.93053,-84.0044,0
0,1,14,2,6.6666,6.66667,0,-3.73615,-84.0044,0
0,0,15,1,6.6667,6.66667,0,2.93053,-90.6711,0
0,1,14,2,6.6666,6.66667,0,-3.73615,-84.0044,0
0,1,14,1,6.6667,6.66667,0,-3.73615,-90.6711,0
0,1,14,0,6.6666,6.66667,0,-3.73615,-97.3377,0
0,1,15,0,6.6666,6.66667,0,2.93053,-97.3377,0
0,1,16,0,6.6666,6.66664,0,9.59718,-97.3377,0
0,1,16,1,6.6667,6.66664,0,9.59718,-90.6711,0
0,1,16,2,6.6666,6.66664,0,9.59718,-84.0044,0
0,1,15,2,6.6666,6.66667,0,2.93053,-84.0044,0
0,0,16,1,6.6667,6.66664,0,9.59718,-90.6711,0
0,1,15,2,6.6666,6.66667,0,2.93053,-84.0044,0
0,1,15,1,6.6667,6.66667,0,2.93053,-90.6711,0
0,1,15,0,6.6666,6.66667,0,2.93053,-97.3377,0
0,1,16,0,6.6666,6.66664,0,9.59718,-97.3377,0
0,1,17,0,6.6666,6.6667,0,16.2639,-97.3377,0
0,1,17,1,6.6667,6.6667,0,16.2639,-90.6711,0
0,1,17,2,6.6666,6.6667,0,16.2639,-84.0044,0
0,1,16,2,6.6666,6.66664,0,9.59718,-84.0044,0
0,0,17,1,6.6667,6.6667,0,16.2639,-90.6711,0
0,1,16,2,6.6666,6.66664,0,9.59718,-84.0044,0
0,1,16,1,6.6667,6.66664,0,9.59718,-90.6711,0
0,1,16,0,6.6666,6.66664,0,9.59718,-97.3377,0
0,1,17,0,6.6666,6.6667,0,16.2639,-97.3377,0
0,1,18,0,6.6666,6.6667,0,22.9305,-97.3377,0
0,1,18,1,6.6667,6.6667,0,22.9305,-90.6711,0
0,1,18,2,6.6666,6.6667,0,22.9305,-84.0044,0
0,1,17,2,6.6666,6.6667,0,16.2639,-84.0044,0
0,0,18,1,6.6667,6.6667,0,22.9305,-90.6711,0
0,1,17,2,6.6666,6.6667,0,16.2639,-84.0044,0
0,1,17,1,6.6667,6.6667,0,16.2639,-90.6711,0
0,1,17,0,6.6666,6.6667,0,16.2639,-97.3377,0
0,1,18,0,6.6666,6.6667,0,22.9305,-97.3377,0
0,1,19,0,6.6666,6.6666,0,29.5972,-97.3377,0
0,1,19,1,6.6667,6.6666,0,29.5972,-90.6711,0
0,1,19,2,6.6666,6.6666,0,29.5972,-84.0044,0
0,1,18,2,6.6666,6.6667,0,22.9305,-84.0044,0
0,0,19,1,6.6667,6.6666,0,29.5972,-90.6711,0
0,1,18,2,6.6666,6.6667,0,22.9305,-84.0044,0
0,1,18,1,6.6667,6.6667,0,22.9305,-90.6711,0
0,1,18,0,6.6666,6.6667,0,22.9305,-97.3377,0
0,1,19,0,6.6666,6.6666,0,29.5972,-97.3377,0
0,1,20,0,6.6666,6.6667,0,36.2638,-97.3377,0
0,1,20,1,6.6667,6.6667,0,36.2638,-90.6711,0
0,1,20,2,6.6666,6.6667,0,36.2638,-84.0044,0
0,1,19,2,6.6666,6.6666,0,29.5972,-84.0044,0
0,0,20,1,6.6667,6.6667,0,36.2638,-90.6711,0
0,1,19,2,6.6666,6.6666,0,29.5972,-84.0044,0
